name,smiles,e
n-ButylBenzene,CCCCc1ccccc1,2.36
n-Decane,CCCCCCCCCC,1.9846
n-Dodecane,CCCCCCCCCCCC,2.006
n-Hexadecane,CCCCCCCCCCCCCCCC,2.0402
n-Hexane,CCCCCC,1.8819
NitroBenzene,[O-][N+](=O)c1ccccc1,34.809
NitroEthane,CC[N+]([O-])=O,28.29
n-MethylAniline,CNc1ccccc1,5.96
n-MethylFormamide-mixture,CNC=O,181.56
"n,n-DiMethylAcetamide",CN(C)C(C)=O,37.781
"n,n-DiMethylFormamide",CN(C)C=O,37.219
n-Nonane,CCCCCCCCC,1.9605
n-Octane,CCCCCCCC,1.9406
n-Pentadecane,CCCCCCCCCCCCCCC,2.0333
n-Pentane,CCCCC,1.8371
n-Undecane,CCCCCCCCCCC,1.991
o-ChloroToluene,Cc1ccccc1Cl,4.6331
o-Cresol,Cc1ccccc1O,6.76
o-DiChloroBenzene,Clc1ccccc1Cl,9.9949
o-NitroToluene,Cc1ccccc1[N+]([O-])=O,25.669
o-Xylene,Cc1ccccc1C,2.5454
Pentanal,CCCCC=O,10
PentanoicAcid,CCCCC(O)=O,2.6924
PentylAmine,CCCCCN,4.201
PentylEthanoate,CCCCCOC(C)=O,4.7297
PerFluoroBenzene,Fc1c(F)c(F)c(F)c(F)c1F,2.029
p-IsoPropylToluene,CC(C)c1ccc(C)cc1,2.2322
Propanal,CCC=O,18.5
PropanoicAcid,CCC(O)=O,3.44
PropanoNitrile,CCC#N,29.324
PropylAmine,CCCN,4.9912
PropylEthanoate,CCCOC(C)=O,5.5205
p-Xylene,Cc1ccc(C)cc1,2.2705
Pyridine,c1ccncc1,12.978
sec-ButylBenzene,CCC(C)c1ccccc1,2.3446
tert-ButylBenzene,CC(C)(C)c1ccccc1,2.3447
TetraChloroEthene,ClC(Cl)=C(Cl)Cl,2.268
"TetraHydroThiophene-s,s-dioxide",O=[S]1(=O)CCCC1,43.962
Tetralin,C1CCc2ccccc2C1,2.771
Thiophene,s1cccc1,2.727
Thiophenol,Sc1ccccc1,4.2728
trans-Decalin,C1CC[C@@H]2CCCC[C@H]2C1,2.1781
TriButylPhosphate,CCCCO[P](=O)(OCCCC)OCCCC,8.1781
TriChloroEthene,ClC=C(Cl)Cl,3.422
TriEthylAmine,CCN(CC)CC,2.3832
Xylene-mixture,Cc1ccccc1C,2.3879
"z-1,2-DiChloroEthene",Cl\C=C/Cl,9.2
